,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2023-10-25,25-236,BOS,@,NYK,W (+4),1,38:39,13,22,0.591,3,8,0.375,5,6,0.833,0,11,11,4,2,1,4,3,34,27.0,0
1,2,2,2023-10-27,25-238,BOS,,MIA,W (+8),1,41:26,9,22,0.409,3,10,0.3,1,3,0.333,0,8,8,5,1,0,2,4,22,12.7,13
