,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2023-10-25,22-156,DET,@,MIA,L (-1),1,34:36,6,11,0.545,2,3,0.667,0,0,,6,8,14,2,0,0,1,3,14,14.5,7
1,2,2,2023-10-27,22-158,DET,@,CHO,W (+12),1,36:13,6,11,0.545,2,5,0.4,1,2,0.5,1,6,7,1,0,1,4,3,15,8.0,6
2,3,3,2023-10-28,22-159,DET,,CHI,W (+16),1,33:46,6,14,0.429,0,3,0.0,2,3,0.667,2,7,9,0,0,0,2,4,14,6.1,17
