,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,27,20,2022-12-07,21-199,DET,@,NOP,L (-6),1,29:35,3,8,.375,2,5,.400,2,2,1.000,1,3,4,1,0,0,1,4,10,5.3,0
28,28,21,2022-12-09,21-201,DET,@,MEM,L (-11),1,28:23,5,9,.556,3,6,.500,0,0,,2,5,7,0,0,2,3,4,13,8.4,-12
29,29,22,2022-12-11,21-203,DET,,LAL,L (-7),1,24:15,2,8,.250,2,7,.286,2,2,1.000,1,4,5,0,0,0,1,0,8,4.1,-4
30,30,23,2022-12-14,21-206,DET,@,CHO,W (+7),1,41:20,8,10,.800,2,3,.667,1,2,.500,3,8,11,1,0,2,2,4,19,17.8,+12
31,31,24,2022-12-16,21-208,DET,,SAC,L (-9),1,25:56,4,7,.571,3,5,.600,2,2,1.000,0,7,7,1,0,0,4,2,13,7.7,-6
32,32,25,2022-12-18,21-210,DET,,BRK,L (-3),1,28:46,2,7,.286,1,3,.333,4,4,1.000,1,6,7,0,1,1,0,1,9,8.7,+13
33,33,26,2022-12-20,21-212,DET,,UTA,L (-15),1,27:28,3,9,.333,0,5,.000,1,1,1.000,0,3,3,1,0,1,0,0,7,4.2,-10
34,34,27,2022-12-21,21-213,DET,@,PHI,L (-20),1,21:53,3,7,.429,0,1,.000,0,0,,2,3,5,1,0,0,5,5,6,-1.7,-11
35,35,28,2022-12-23,21-215,DET,@,ATL,L (-25),1,27:57,2,7,.286,2,4,.500,1,2,.500,1,3,4,3,0,0,2,1,7,3.8,-14
36,36,29,2022-12-26,21-218,DET,,LAC,L (-11),1,39:43,8,10,.800,3,4,.750,2,3,.667,2,5,7,1,1,2,0,3,21,21.6,-18
37,37,30,2022-12-28,21-220,DET,,ORL,W (+20),1,26:30,4,12,.333,2,8,.250,1,2,.500,0,3,3,0,0,0,1,2,11,2.9,+10
38,38,31,2022-12-30,21-222,DET,@,CHI,L (-14),1,33:18,6,15,.400,2,7,.286,2,2,1.000,4,6,10,2,3,0,1,2,16,15.1,-5
39,39,32,2022-12-31,21-223,DET,@,MIN,W (+12),1,24:23,3,7,.429,0,1,.000,0,0,,4,3,7,0,1,1,2,2,6,4.9,-3
40,40,33,2023-01-02,21-225,DET,@,POR,L (-29),1,28:21,3,8,.375,0,2,.000,3,4,.750,0,6,6,1,0,1,3,3,9,3.2,-25
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,34,2023-01-04,21-227,DET,@,GSW,W (+3),1,30:40,6,14,.429,1,7,.143,0,0,,2,5,7,1,0,1,2,1,13,7.5,+4
43,42,35,2023-01-06,21-229,DET,@,SAS,L (-12),1,29:43,3,8,.375,2,6,.333,3,6,.500,4,4,8,3,1,0,2,5,11,8.5,-1
44,43,36,2023-01-08,21-231,DET,,PHI,L (-12),1,35:06,7,15,.467,0,3,.000,6,7,.857,3,10,13,2,1,0,4,1,20,15.0,-1
45,44,,2023-01-10,21-233,DET,@,PHI,L (-31),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,45,,2023-01-11,21-234,DET,,MIN,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,46,,2023-01-13,21-236,DET,,NOP,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,47,37,2023-01-15,21-238,DET,,NYK,L (-13),1,29:15,3,6,.500,0,3,.000,0,1,.000,3,6,9,1,0,2,2,5,6,4.6,+2
49,48,38,2023-01-19,21-242,DET,,CHI,L (-18),1,29:47,1,10,.100,0,4,.000,5,6,.833,6,5,11,2,0,0,0,2,7,6.3,-23
50,49,,2023-01-23,21-246,DET,,MIL,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,50,39,2023-01-26,21-249,DET,@,BRK,W (+8),0,20:46,3,6,.500,0,0,,5,5,1.000,4,1,5,0,0,0,1,5,11,8.1,+6
52,51,40,2023-01-28,21-251,DET,,HOU,L (-3),0,23:54,3,6,.500,0,1,.000,0,0,,3,3,6,3,0,1,1,2,6,7.0,0
53,52,41,2023-01-30,21-253,DET,@,DAL,L (-6),0,20:28,2,5,.400,0,0,,3,5,.600,2,3,5,0,1,1,1,3,7,5.3,-9
54,53,42,2023-02-03,21-257,DET,,CHO,W (+6),1,28:13,3,12,.250,0,2,.000,2,2,1.000,5,11,16,6,1,0,0,1,8,12.4,0
55,54,43,2023-02-04,21-258,DET,,PHO,L (-16),1,36:39,7,13,.538,3,8,.375,0,1,.000,2,7,9,2,1,0,1,3,17,14.0,-22
56,55,44,2023-02-06,21-260,DET,,BOS,L (-12),1,31:06,4,12,.333,0,7,.000,2,4,.500,0,12,12,0,0,0,2,2,10,3.2,-25
57,56,45,2023-02-08,21-262,DET,@,CLE,L (-28),1,28:08,4,12,.333,1,5,.200,0,0,,2,5,7,3,1,1,1,3,9,6.7,-22
58,57,46,2023-02-10,21-264,DET,,SAS,W (+7),1,29:04,4,11,.364,1,6,.167,6,8,.750,5,6,11,4,0,1,2,5,15,12.9,+15
59,58,47,2023-02-12,21-266,DET,@,TOR,L (-1),1,37:41,5,7,.714,3,4,.750,3,5,.600,0,3,3,1,0,0,1,1,16,12.5,+5
60,59,48,2023-02-15,21-269,DET,@,BOS,L (-18),1,26:20,5,8,.625,4,6,.667,0,0,,1,5,6,0,0,1,2,1,14,10.9,0
61,60,49,2023-02-23,21-277,DET,@,ORL,L (-2),1,27:10,2,6,.333,2,5,.400,4,4,1.000,1,7,8,3,0,1,1,3,10,10.0,-14
62,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,61,50,2023-02-25,21-279,DET,,TOR,L (-4),1,18:59,2,5,.400,1,2,.500,0,0,,2,7,9,1,0,1,0,2,5,6.4,-5
64,62,,2023-02-27,21-281,DET,@,CHO,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,63,,2023-03-01,21-283,DET,,CHI,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,64,,2023-03-04,21-286,DET,@,CLE,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,65,,2023-03-06,21-288,DET,,POR,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,66,,2023-03-07,21-289,DET,,WAS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,67,,2023-03-09,21-291,DET,,CHO,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,68,,2023-03-11,21-293,DET,,IND,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,69,,2023-03-13,21-295,DET,,IND,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,70,,2023-03-14,21-296,DET,@,WAS,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,71,,2023-03-16,21-298,DET,,DEN,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,72,,2023-03-19,21-301,DET,,MIA,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,73,,2023-03-21,21-303,DET,@,ATL,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
76,74,,2023-03-24,21-306,DET,@,TOR,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,75,,2023-03-27,21-309,DET,,MIL,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
78,76,,2023-03-29,21-311,DET,@,OKC,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
79,77,,2023-03-31,21-313,DET,@,HOU,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,78,,2023-04-02,21-315,DET,@,ORL,L (-26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
81,79,,2023-04-04,21-317,DET,,MIA,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,80,,2023-04-05,21-318,DET,,BRK,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
83,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
84,81,,2023-04-07,21-320,DET,@,IND,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
85,82,,2023-04-09,21-322,DET,@,CHI,L (-22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
