,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2023-10-26,28-324,MIL,,PHI,W (+1),1,35:07,10,21,0.476,0,3,0.0,3,9,0.333,4,8,12,3,2,2,7,4,23,12.0,-13
1,2,2,2023-10-29,28-327,MIL,,ATL,L (-17),1,29:28,9,14,0.643,0,1,0.0,8,10,0.8,5,6,11,3,1,2,3,2,26,25.0,-11
